date,id,parking,bathrooms,bedrooms,currency,price,seller,neighborhood,city,province,status,area,usage,story,planta,lift,pool,pozo,terraza,lobby,balcon,jacuzzi,gimnasio,price.usd
2022-03-21,/apartamentos-venta-don-honorio/1273213/,2,2.5,3,RD$,5800000,Premier Real Estate ,Don Honorio, Las Colinas Del Oeste Santo Domingo Oeste, Santo Domingo,Nueva,140,Residencial,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,99145.29914529914
2022-03-21,/apartamentos-venta-don-honorio/1272034/,2,3,3,US$,144990,Republic Real State,Don Honorio, Las Colinas Del Oeste Santo Domingo Oeste, Santo Domingo,En Planos,128,Residencial,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,144990
2022-03-21,/apartamentos-venta-don-honorio/1272815/,1,2.5,3,US$,155990,Inmobiliaria Vita Home,Don Honorio, Las Colinas Del Oeste Santo Domingo Oeste, Santo Domingo,En Construcción,128,Residencial,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,155990
