date,id,parking,bathrooms,bedrooms,currency,price,seller,neighborhood,city,province,status,area,usage,story,planta,lift,pool,pozo,terraza,lobby,balcon,jacuzzi,gimnasio,price.usd
2022-03-22,/apartamentos-venta-renacimiento/1273559/,2,3.5,3,US$,295000,BM Agency,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,Segundo Uso,168,Residencial,6,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,295000
2022-03-22,/apartamentos-venta-renacimiento/1273699/,2,2,3,US$,375000,Crisya Inmobiliaria SRL,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,Segundo Uso,312,Residencial,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,375000
2022-03-22,/apartamentos-venta-renacimiento/1273673/,NA,2.5,2,US$,195137,Algonovo Real Estate,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,En Construcción,146,Residencial,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,195137
2022-03-22,/apartamentos-venta-renacimiento/1271359/,2,3.5,3,US$,194000,Mr. Home Asesores Inmobiliarios,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,NA,NA,Residencial,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,194000
2022-03-22,/apartamentos-venta-renacimiento/1273245/,2,3.5,2,US$,245000,Mr. Home Asesores Inmobiliarios,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,NA,188,Residencial,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,245000
2022-03-22,/apartamentos-venta-renacimiento/1247735/,NA,1,1,US$,95000,Mr. Home Asesores Inmobiliarios,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,NA,66,Residencial,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,95000
2022-03-22,/apartamentos-venta-renacimiento/1260248/,2,3.5,3,US$,245000,Inmobiliaria Grupo DYZ,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,Segundo Uso,293,Residencial,2,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,245000
2022-03-22,/apartamentos-venta-renacimiento/1269115/,2,3.5,3,US$,215000,DOBLE ALTURA REAL ESTATE SRL,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,Nueva,155,Residencial,2,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,215000
2022-03-22,/apartamentos-venta-renacimiento/1266209/,2,3.5,3,RD$,14000000,Remax Metropolitana,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,Segundo Uso,228,Residencial,6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,239316.2393162393
2022-03-22,/apartamentos-venta-renacimiento/1273662/,1,2,1,RD$,160000,VALORA INMOBILIARIA,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,Nueva,89,Comercial,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2735.042735042735
2022-03-22,/apartamentos-venta-renacimiento/1272981/,2,3.5,3,US$,275500,VALORA INMOBILIARIA,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,Nueva,183,Residencial,8,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,275500
2022-03-22,/apartamentos-venta-renacimiento/1259801/,2,2.5,3,US$,216000,Bonillamultiservice,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,En Construcción,176,Residencial,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,216000
2022-03-22,/apartamentos-venta-renacimiento/1273150/,2,2.5,2,US$,185000,VALORA INMOBILIARIA,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,Nueva,139,Residencial,2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,185000
2022-03-22,/apartamentos-venta-renacimiento/1270670/,2,2.5,3,US$,250000,Hogarium Real Estate,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,Segundo Uso,194,Residencial,2,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,250000
2022-03-22,/apartamentos-venta-renacimiento/1264453/,3,2.5,3,US$,258000,Víctor García Asesor Inmobiliario,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,Nueva,230,Residencial,5,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,258000
2022-03-22,/apartamentos-venta-renacimiento/1269222/,2,2.5,3,US$,209780,Maravila Properties,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,En Construcción,160,Residencial,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,209780
2022-03-22,/apartamentos-venta-renacimiento/1270964/,NA,2.5,2,US$,195137,Seekers Inmobiliaria,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,En Construcción,146,Residencial,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,195137
2022-03-22,/apartamentos-venta-y-alquiler-renacimiento/1225974/,2,2.5,3,US$,250000,Top International Realty,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,Segundo Uso,201,Residencial,7,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,250000
2022-03-22,/apartamentos-venta-renacimiento/1270323/,2,3.5,3,US$,236500,Inmobiliaria Grupal,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,Nueva,156,Residencial,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,236500
2022-03-22,/apartamentos-venta-renacimiento/1265286/,2,2.5,2,US$,185000,URBANET,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,En Construcción,NA,Residencial,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,185000
2022-03-22,/apartamentos-venta-renacimiento/1265282/,2,2.5,3,US$,178700,URBANET,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,En Construcción,NA,Residencial,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,178700
2022-03-22,/apartamentos-venta-renacimiento/1264935/,2,3.5,3,US$,245000,URBANET,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,En Construcción,NA,Residencial,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,245000
2022-03-22,/apartamentos-venta-renacimiento/1264913/,2,3.5,3,US$,216000,URBANET,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,En Construcción,NA,Residencial,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,216000
2022-03-22,/apartamentos-venta-renacimiento/1265757/,2,3.5,3,US$,207545,Inmobiliaria Grupal,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,Nueva,NA,Residencial,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,207545
2022-03-22,/apartamentos-venta-renacimiento/1273741/,3,2.5,3,US$,260000,Mis Casas RD,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,Nueva,160,Residencial,NA,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,260000
2022-03-22,/apartamentos-venta-renacimiento/1269942/,NA,3.5,3,US$,183,Inmobiliaria Grupal,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,En Construcción,160,N/D,3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,183
2022-03-22,/apartamentos-venta-renacimiento/1271892/,2,3.5,3,US$,215000,Virna Reyes,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,Nueva,181,Residencial,2,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,215000
2022-03-22,/apartamentos-venta-renacimiento/1267312/,2,2.5,3,US$,170000,Remax Blu,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,Segundo Uso,150,Residencial,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,170000
2022-03-22,/apartamentos-venta-renacimiento/1271647/,1,1.5,1,US$,138000,Ginebra Realty Group,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,Nueva,112,Residencial,NA,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,138000
2022-03-22,/apartamentos-venta-renacimiento/1265278/,2,3.5,3,US$,255000,Ginebra Realty Group,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,En Construcción,272,Residencial,5,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,255000
2022-03-22,/apartamentos-venta-renacimiento/1270216/,2,3.5,3,US$,265000,Paez Luxury Real Estate ,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,Nueva,193,Residencial,7,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,265000
2022-03-22,/apartamentos-venta-renacimiento/1265862/,2,3.5,3,US$,207545,Inmobiliaria Grupal,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,Nueva,174,Residencial,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,207545
2022-03-22,/apartamentos-venta-renacimiento/1265709/,2,3.5,3,US$,207545,Inmobiliaria Grupal,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,Nueva,155,Residencial,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,207545
2022-03-22,/apartamentos-venta-renacimiento/1272438/,3,3.5,3,US$,335000,Doble Altura Real Estate SRL,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,Nueva,234,Residencial,8,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,335000
2022-03-22,/apartamentos-venta-renacimiento/1272379/,2,NA,3,US$,215000,Doble Altura Real Estate SRL,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,Nueva,155,Residencial,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,215000
2022-03-22,/apartamentos-venta-renacimiento/1272372/,2,3.5,3,US$,241000,Doble Altura Real Estate SRL,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,Nueva,180,Residencial,7,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,241000
2022-03-22,/apartamentos-venta-renacimiento/1272661/,2,2.5,2,US$,172000,Tropical Living,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,En Construcción,139,Residencial,NA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,172000
2022-03-22,/apartamentos-venta-renacimiento/1272662/,1,1.5,1,US$,125500,Tropical Living,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,En Construcción,66,Residencial,NA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,125500
2022-03-22,/apartamentos-venta-renacimiento/1268958/,1,1.5,2,RD$,7000000,"Constructora Cepeda Santana (CONCESA, S.R.L.)",Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,Nueva,85,Residencial,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,119658.11965811966
2022-03-22,/apartamentos-venta-renacimiento/1265948/,2,3,3,US$,216000,Seekers Inmobiliaria,Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo,En Construcción,175,Residencial,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,216000
