date,id,parking,bathrooms,bedrooms,currency,price,seller,neighborhood,city,province,status,area,usage,story,planta,lift,pool,pozo,terraza,lobby,balcon,jacuzzi,gimnasio,price.usd
2022-01-24,/apartamentos-venta-el-vergel/1267304/,2,2.5,2,US$,187800,Inmobiliaria Inversión Segura RD ,El Vergel, Santo Domingo Centro (D.N.), Santo Domingo,Nueva,112,Residencial,4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,187800
2022-01-24,/apartamentos-venta-el-vergel/1233400/,2,3.5,3,US$,260000,Marrero Luxury,El Vergel, Santo Domingo Centro (D.N.), Santo Domingo,Segundo Uso,160,Residencial,6,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,260000
2022-01-24,/apartamentos-venta-el-vergel/1268401/,2,3.5,3,US$,350000,Kw Gold,El Vergel, Santo Domingo Centro (D.N.), Santo Domingo,Segundo Uso,311,Residencial,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,350000
2022-01-24,/apartamentos-venta-el-vergel/1267394/,2,3,3,US$,240000,Inmobiliaria Grupal,El Vergel, Santo Domingo Centro (D.N.), Santo Domingo,Segundo Uso,256,Residencial,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,240000
2022-01-24,/apartamentos-venta-el-vergel/1261672/,2,2,2,US$,187800,Republic Real State,El Vergel, Santo Domingo Centro (D.N.), Santo Domingo,Nueva,88,Residencial,4,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,187800
2022-01-24,/apartamentos-venta-el-vergel/1262505/,1,1.5,1,US$,135000,Premium Real Estate,El Vergel, Santo Domingo Centro (D.N.), Santo Domingo,Segundo Uso,NA,Residencial,7,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,135000
2022-01-24,/apartamentos-venta-el-vergel/1260374/,1,1.5,1,US$,135000,Premium Real Estate,El Vergel, Santo Domingo Centro (D.N.), Santo Domingo,Segundo Uso,62,Residencial,7,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,135000
2022-01-24,/apartamentos-venta-el-vergel/1260366/,1,1.5,1,US$,135000,Premium Real Estate,El Vergel, Santo Domingo Centro (D.N.), Santo Domingo,Segundo Uso,62,Residencial,7,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,135000
2022-01-24,/apartamentos-venta-el-vergel/1267431/,2,2.5,2,US$,187800,Marco Rivero,El Vergel, Santo Domingo Centro (D.N.), Santo Domingo,Nueva,112,Residencial,NA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,187800
2022-01-24,/apartamentos-venta-el-vergel/1266899/,2,2.5,2,US$,175000,Marco Rivero,El Vergel, Santo Domingo Centro (D.N.), Santo Domingo,Nueva,98,Residencial,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,175000
2022-01-24,/apartamentos-venta-el-vergel/1266958/,2,2.5,2,US$,192000,Marco Rivero,El Vergel, Santo Domingo Centro (D.N.), Santo Domingo,Nueva,119,Residencial,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,192000
2022-01-24,/apartamentos-venta-el-vergel/1267655/,2,3.5,3,US$,250000,Stalin Florentino,El Vergel, Santo Domingo Centro (D.N.), Santo Domingo,Segundo Uso,256,Residencial,6,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,250000
2022-01-24,/apartamentos-venta-el-vergel/1258533/,2,3.5,3,US$,200000,Stalin Florentino,El Vergel, Santo Domingo Centro (D.N.), Santo Domingo,Segundo Uso,280,Residencial,6,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,200000
2022-01-24,/apartamentos-venta-el-vergel/1267430/,2,2.5,2,US$,187800,Stalin Florentino,El Vergel, Santo Domingo Centro (D.N.), Santo Domingo,Nueva,149,Residencial,4,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,187800
2022-01-24,/apartamentos-venta-el-vergel/1260372/,1,1.5,1,US$,135000,Premium Real Estate,El Vergel, Santo Domingo Centro (D.N.), Santo Domingo,Nueva,72,Residencial,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,135000
2022-01-24,/apartamentos-venta-el-vergel/1228512/,2,2.5,3,US$,195000,Vivenzas Real Estate ,El Vergel, Santo Domingo Centro (D.N.), Santo Domingo,Segundo Uso,175,Residencial,NA,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,195000
