date,id,parking,bathrooms,bedrooms,currency,price,seller,neighborhood,city,province,status,area,usage,story,planta,lift,pool,pozo,terraza,lobby,balcon,jacuzzi,gimnasio,price.usd
2022-03-22,/apartamentos-venta-santo-domingo-oeste/1261732/,1,1,1,US$,99800,Republic Real State,NA,Santo Domingo Oeste, Santo Domingo,En Planos,68,Residencial,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,99800
2022-03-22,/apartamentos-venta-santo-domingo-oeste/1261748/,1,2,3,US$,130000,Republic Real State,NA,Santo Domingo Oeste, Santo Domingo,En Planos,106,Residencial,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,130000
2022-03-22,/apartamentos-venta-santo-domingo-oeste/1261755/,2,2,3,US$,134200,Republic Real State,NA,Santo Domingo Oeste, Santo Domingo,En Construcción,115,Residencial,NA,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,134200
2022-03-22,/apartamentos-venta-santo-domingo-oeste/1266717/,1,2,3,RD$,3950000,Mr. Home Asesores Inmobiliarios,NA,Santo Domingo Oeste, Santo Domingo,NA,101,Residencial,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,67521.36752136752
2022-03-22,/apartamentos-venta-santo-domingo-oeste/1256725/,1,2,3,US$,95500,Algonovo Real Estate,NA,Santo Domingo Oeste, Santo Domingo,En Planos,96,Residencial,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,95500
2022-03-22,/apartamentos-venta-santo-domingo-oeste/1272877/,1,1,3,RD$,2590000,Kelvin  Rivera,NA,Santo Domingo Oeste, Santo Domingo,Segundo Uso,75,Residencial,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,44273.50427350427
