date,id,parking,bathrooms,bedrooms,currency,price,seller,neighborhood,city,province,status,area,usage,story,planta,lift,pool,pozo,terraza,lobby,balcon,jacuzzi,gimnasio,price.usd
2022-01-24,/apartamentos-venta-arroyo-hondo-viejo/1264328/,2,2.5,3,US$,148000,Marco Rivero,Arroyo Hondo Viejo, Santo Domingo Centro (D.N.), Santo Domingo,Nueva,231,Residencial,4,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,148000
2022-01-24,/apartamentos-venta-arroyo-hondo-viejo/1256721/,2,2.5,2,US$,172000,Algonovo Real Estate,Arroyo Hondo Viejo, Santo Domingo Centro (D.N.), Santo Domingo,En Planos,114,Residencial,NA,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,172000
2022-01-24,/apartamentos-venta-arroyo-hondo-viejo/1252633/,2,2.5,2,US$,172000,Algonovo Real Estate,Arroyo Hondo Viejo, Santo Domingo Centro (D.N.), Santo Domingo,En Construcción,111,Residencial,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,172000
2022-01-24,/apartamentos-venta-arroyo-hondo-viejo/1264452/,1,2,2,RD$,6400000,Marco Rivero,Arroyo Hondo Viejo, Santo Domingo Centro (D.N.), Santo Domingo,Segundo Uso,178,Residencial,4,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,109401.7094017094
2022-01-24,/apartamentos-venta-arroyo-hondo-viejo/1241375/,2,2.5,2,US$,177700,Seekers Inmobiliaria,Arroyo Hondo Viejo, Santo Domingo Centro (D.N.), Santo Domingo,En Construcción,114,Residencial,3,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,177700
2022-01-24,/apartamentos-venta-arroyo-hondo-viejo/1265832/,2,2.5,3,US$,160000,Seekers Inmobiliaria,Arroyo Hondo Viejo, Santo Domingo Centro (D.N.), Santo Domingo,Nueva,NA,Residencial,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,160000
2022-01-24,/apartamentos-venta-arroyo-hondo-viejo/1263774/,2,2.5,3,US$,148000,Marco Rivero,Arroyo Hondo Viejo, Santo Domingo Centro (D.N.), Santo Domingo,Nueva,231,Residencial,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,148000
2022-01-24,/apartamentos-venta-arroyo-hondo-viejo/1265163/,NA,NA,3,US$,269000,Capital Home,Arroyo Hondo Viejo, Santo Domingo Centro (D.N.), Santo Domingo,En Construcción,252,Residencial,NA,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,269000
2022-01-24,/apartamentos-venta-arroyo-hondo-viejo/1256784/,2,2.5,2,US$,160600,Algonovo Real Estate,Arroyo Hondo Viejo, Santo Domingo Centro (D.N.), Santo Domingo,En Planos,114,Residencial,NA,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,160600
2022-01-24,/apartamentos-venta-arroyo-hondo-viejo/1250971/,1,1.5,1,US$,105050,Algonovo Real Estate,Arroyo Hondo Viejo, Santo Domingo Centro (D.N.), Santo Domingo,En Construcción,60,Residencial,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,105050
2022-01-24,/apartamentos-venta-arroyo-hondo-viejo/1264516/,2,2.5,2,US$,179349,Algonovo Real Estate,Arroyo Hondo Viejo, Santo Domingo Centro (D.N.), Santo Domingo,En Construcción,110,Residencial,4,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,179349
2022-01-24,/apartamentos-venta-arroyo-hondo-viejo/1237324/,2,2.5,2,US$,175000,Algonovo Real Estate,Arroyo Hondo Viejo, Santo Domingo Centro (D.N.), Santo Domingo,En Construcción,141,N/D,5,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,175000
2022-01-24,/apartamentos-venta-arroyo-hondo-viejo/1242257/,1,1.5,1,US$,113000,Domus Mea Caribe Inmobiliaria,Arroyo Hondo Viejo, Santo Domingo Centro (D.N.), Santo Domingo,En Construcción,60,Residencial,NA,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,113000
