date,id,parking,bathrooms,bedrooms,currency,price,seller,neighborhood,city,province,status,area,usage,story,planta,lift,pool,pozo,terraza,lobby,balcon,jacuzzi,gimnasio,price.usd
2022-01-24,/apartamentos-venta-colinas-arroyo-hondo-ii/1266759/,1,2,3,RD$,5350000,Remax Metropolitana,Colinas Arroyo Hondo II, Santo Domingo Centro (D.N.), Santo Domingo,Segundo Uso,NA,Residencial,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,91452.99145299145
2022-01-24,/apartamentos-venta-colinas-arroyo-hondo-ii/1261376/,2,2,3,RD$,6600000,Inmobiliaria Grupal,Colinas Arroyo Hondo II, Santo Domingo Centro (D.N.), Santo Domingo,Segundo Uso,147,Residencial,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,112820.51282051283
2022-01-24,/apartamentos-venta-colinas-arroyo-hondo-ii/1259075/,1,2,3,RD$,4000000,Plusval Homes Realty Group,Colinas Arroyo Hondo II, Santo Domingo Centro (D.N.), Santo Domingo,Nueva,100,N/D,2,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,68376.06837606838
