date,id,parking,bathrooms,bedrooms,currency,price,seller,neighborhood,city,province,status,area,usage,story,planta,lift,pool,pozo,terraza,lobby,balcon,jacuzzi,gimnasio,price.usd
2022-01-24,/apartamentos-venta-mirador-sur/1266675/,3,3.5,3,US$,240000,Inmobiliaria Inversión Segura RD ,Mirador Sur, Santo Domingo Centro (D.N.), Santo Domingo,Nueva,150,Residencial,4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,240000
2022-01-24,/apartamentos-venta-mirador-sur/1264309/,2,2.5,2,US$,181000,Inmobiliaria Inversión Segura RD ,Mirador Sur, Santo Domingo Centro (D.N.), Santo Domingo,En Construcción,108,Residencial,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,181000
2022-01-24,/apartamentos-venta-mirador-sur/1260554/,NA,3,3,US$,205000,Premium Real Estate,Mirador Sur, Santo Domingo Centro (D.N.), Santo Domingo,Segundo Uso,165,Residencial,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,205000
2022-01-24,/apartamentos-venta-mirador-sur/1263518/,2,NA,2,US$,195000,Bienvenida Rubén Jiménez,Mirador Sur, Santo Domingo Centro (D.N.), Santo Domingo,Nueva,200,Residencial,NA,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,195000
2022-01-24,/apartamentos-venta-mirador-sur/1265633/,2,2.5,2,US$,181000,Premium Real Estate,Mirador Sur, Santo Domingo Centro (D.N.), Santo Domingo,En Construcción,108,Residencial,NA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,181000
2022-01-24,/apartamentos-venta-mirador-sur/1267454/,4,3.5,3,US$,900900,Stalin Florentino,Mirador Sur, Santo Domingo Centro (D.N.), Santo Domingo,En Construcción,360,Residencial,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,900900
2022-01-24,/apartamentos-venta-mirador-sur/1266255/,3,3.5,3,US$,245000,Carmelia Suero,Mirador Sur, Santo Domingo Centro (D.N.), Santo Domingo,Segundo Uso,150,Residencial,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,245000
2022-01-24,/apartamentos-venta-mirador-sur/1258124/,2,3.5,3,US$,260000,Carmelia Suero,Mirador Sur, Santo Domingo Centro (D.N.), Santo Domingo,Nueva,182,Residencial,5,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,260000
2022-01-24,/apartamentos-venta-mirador-sur/1266637/,1,2,2,US$,167000,Inmobiliaria Grupal,Mirador Sur, Santo Domingo Centro (D.N.), Santo Domingo,Nueva,110,Residencial,4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,167000
2022-01-24,/apartamentos-venta-mirador-sur/1230124/,2,3.5,3,US$,220000,Vivenzas Real Estate ,Mirador Sur, Santo Domingo Centro (D.N.), Santo Domingo,En Planos,135,Residencial,NA,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,220000
