date,id,parking,bathrooms,bedrooms,currency,price,seller,neighborhood,city,province,status,area,usage,story,planta,lift,pool,pozo,terraza,lobby,balcon,jacuzzi,gimnasio,price.usd
2022-03-22,/apartamentos-venta-punta-cana/1272639/,NA,NA,NA,US$,105000,Premium Real Estate,Punta Cana, Bávaro, Punta Cana,En Construcción,NA,Residencial,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,105000
2022-03-22,/apartamentos-venta-punta-cana/1269103/,1,1,1,US$,139000,Republic Real State,Punta Cana, Bávaro, Punta Cana,En Planos,44,Residencial,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,139000
2022-03-22,/apartamentos-venta-punta-cana/1253080/,1,2,2,US$,123000,Algonovo Real Estate,Punta Cana, Bávaro, Punta Cana,En Planos,107,Residencial,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,123000
2022-03-22,/apartamentos-venta-punta-cana/1237233/,NA,1,1,US$,161399,Seekers Inmobiliaria,Punta Cana, Bávaro, Punta Cana,En Construcción,75,Residencial,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,161399
2022-03-22,/apartamentos-venta-punta-cana/1237234/,NA,1,1,US$,190599,Seekers Inmobiliaria,Punta Cana, Bávaro, Punta Cana,En Construcción,64,Residencial,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,190599
2022-03-22,/apartamentos-venta-punta-cana/1237246/,1,1,1,US$,119500,Seekers Inmobiliaria,Punta Cana, Bávaro, Punta Cana,En Construcción,60,Residencial,NA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,119500
2022-03-22,/apartamentos-venta-punta-cana/1237235/,NA,1,1,US$,132999,Seekers Inmobiliaria,Punta Cana, Bávaro, Punta Cana,En Construcción,55,Residencial,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,132999
2022-03-22,/apartamentos-venta-punta-cana/1237236/,NA,1,1,US$,187499,Seekers Inmobiliaria,Punta Cana, Bávaro, Punta Cana,En Construcción,50,Residencial,NA,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,187499
2022-03-22,/apartamentos-venta-punta-cana/1273909/,2,2,3,US$,135000,The Crestman Group ,Punta Cana, Bávaro, Punta Cana,Nueva,76,Residencial,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,135000
2022-03-22,/apartamentos-venta-punta-cana/1273906/,1,1,1,US$,112500,The Crestman Group ,Punta Cana, Bávaro, Punta Cana,En Construcción,53,Residencial,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,112500
